569,965,Chico Baturi,"CHICO VATVRI,",DE TRES INGENIOS.,Biblioteca Nacional de España,T/55346/20,BNE_965_569_T-55346-20,,,
636,579,Ciencias impiden traiciones,CIENCIAS IMPIDEN / TRAICIONES.,«DE DON JVAN DE BOLEA Y ALVARADO»,Biblioteca Nacional de España,T/55318/11,BNE_579_636_T-55318-11,,,
819,895,Cómo se engañan los celos,COMO SE ENGAÑAN LOS ZELOS.,«DON MANUEL DANIEL DELGADO. »,Biblioteca Nacional de España,T/55323/13,BNE_895_819_T-55323-13,,,
889,997,Cómo se guarda el honor,COMO SE GVARDA EL HONOR.,DEL DOCTOR IVAN PEREZ DE MONTALVAN.,Biblioteca Nacional de España,T/55340/15,BNE_997_889_T-55340-15,,,
750,911,Con amor no hay amistad,CON AMOR NO AY AMISTAD.,«DE DON IVAN DE MATOS FRAGOSO. »,Biblioteca Nacional de España,T/55279/13,BNE_911_750_T-55279-13,,,
48,53,"Con amor, no siempre la verdad es lo mejor","CON AMOR, NO SIEMPRE LA VERDAD ES LO MEJOR.",«DE DON LUIS BOTELLO FROES DE FIGUEIREDO  / Manuel Brochero y Añaya.»,Biblioteca Nacional de España,T/55318/3,BNE_53_48_T-55318-3,,,
48,874,"Con amor, no siempre la verdad es lo mejor","CON AMOR, NO SIEMPRE LA VERDAD ES LO MEJOR.",DE DON LUIS BOTELLO FROES DE FIGUEIREDO / Manuel Bochero y Añaya,Biblioteca Nacional de España,T/55340/2,BNE_874_48_T-55340-2,,,
838,884,"Con quien vengo, vengo",CON QVIEN VENGO VENGO,DE DON PEDRO CALDERON.,Biblioteca Nacional de España,T/55307/4,BNE_884_838_T-55307-4,,,
838,839,"Con quien vengo, vengo",CON QVIEN VENGO VENGO.,«DE DON PEDRO CALDERON.»,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.515.8,BNUE_839_838_CD-122-515-8,,,
787,896,Contra el amor no hay engaños,CONTRA EL AMOR NO AY ENGANOS.,DE DON DIEGO ENRIQUEZ.,Biblioteca Nacional de España,T/55335/8,BNE_896_787_T-55335-8,,,
672,591,Correr por amor fortuna,CORRER POR AMOR FORTVNA.,DE LVYSVELEZ DE GVEVARA.,Biblioteca Nacional de España,T/55342/3,BNE_591_672_T-55342-3,,,
408,456,"Cuál enemigo es mayor, el destino o el amor","QVAL ENEMIGO ES MAYOR, EL DESTINO, O EL AMOR?",,Biblioteca Nacional de España,T/2245,BNE_456_408_T-2245,,,
854,869,"Cuantas veo, tantas quiero",QVANTAS VEO TANTAS QVIERO.,«De Don Franci$sco de Auellaneda.»,Biblioteca Nacional de España,T/55282/25,BNE_869_854_T-55282-25,,,
874,938,Cuatro milagros de amor,QVATRO MILAGROS DE AMOR.,DEL DOCTOR MIRA DE MESCVA.,Biblioteca Nacional de España,T/55274/21,BNE_938_874_T-55274-21,,,
834,861,Dar con la misma flor,DAR CON LA MISMA FLOR.,«De don Iuan de Alarcon y Mendoza.»,Biblioteca Nacional de España,T/55282/30,BNE_861_834_T-55282-30,Simón Fajardo,1630-1640,1622-1650
282,280,Darles con la entretenida,DALLES CON LA ENTRETENIDA.,DE LVYS VELEZ DE GVEVARA.,Biblioteca Nacional de España,T/55319/16,BNE_280_282_T-55319-16,Pedro Gómez de Pastrana,1632-1638,1625-1649
860,883,"De buen moro, buen cristiano",DE BVEN MORO BVEN CRISTIANO,DEL DOCTOR FELIPE GODINEZ.,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.514.4,BNUE_883_860_CD-122-514-4,,,
820,826,De este agua no beberé,DESTE AGVA NO BEVERE.,POR ANDRES DE CLARAMONTE.,Biblioteca Nacional de España,R/23136/11,BNE_826_820_R-23136-11,Manuel de Sande,1627-1629,1627-1635
820,970,De este agua no beberé,DESTE AGVA NO BEBERE.,DE ANDRES DE CLARAMONTE.,Biblioteca Nacional de España,T/55340/21,BNE_970_820_T-55340-21,,,
761,768,De fuera vendrá quien de casa nos echará,DE FUERA VENDRA.,«DE DON AGUSTIN MORETO.»,Biblioteca Nacional de España,T/55275/11,BNE_768_761_T-55275-11,,,
640,716,De lo vivo a lo pintado,DE LO VIVO A LO PINTADO,DE ANDRES DE CLARAMONTE,Biblioteca Nacional de España,T/55273/5,BNE_716_640_T-55273-5,,,
876,952,"De una causa, dos efectos",DE VNA CAVSA DOS EFETOS.,DE DON PEDRO CALDERON.,Biblioteca Nacional de España,T/55309/1,BNE_952_876_T-55309-1,,,
879,956,Dejar un reino por otro y mártires de Madrid,DEXAR VN REYNO POR OTRO.,"De D. Geronimo Cancer, de D. Seba$stian de Villavicio$sa, / y de Don Agu$stin Moreto.",Biblioteca Nacional de España,T/55295/23,BNE_956_879_T-55295-23,,,
158,157,Del engaño hacer virtud,DE EL ENGANO HAZER VIRTVD.,DE ALVARO CVBILLO.,Biblioteca Nacional de España,T/55312/17,BNE_157_158_T-55312-17,,,
158,350,Del engaño hacer virtud,"EL EXEMPLO DE DESDICHAS, Y LOS CASADOS POR FVERZA",DE ALVARO CVBILLO.,Biblioteca Nacional de España,T/55312/12,BNE_350_158_T-55312-12,,,
832,831,Del mal lo menos,"DEL MAL LO MENOS,",«DE VN INGENIO DE ESTA CORTE.»,Biblioteca Nacional de España,T/20999,BNE_831_832_T-20999,,,
434,1016,"Del rey abajo, ninguno, y el castañar de Toledo","DEL REY ABAJO NINGUNO, Y LABRADOR MAS HONRADO GARCIA DEL CASTAÑAR.",D. FRANCISCO DE ROJAS,Biblioteca Nacional de España,T/55328/23,BNE_1016_434_T-55328-23,,,
434,489,"Del rey abajo, ninguno, y el castañar de Toledo","DEL REY A BAXO NINGVNO, Y EL CASTAÑAR DE TOLEDO.",DE DON PEDRO CALDERON.,Biblioteca Nacional de España,T/55305/11,BNE_489_434_T-55305-11,,,
434,750,"Del rey abajo, ninguno, y el castañar de Toledo","EL LABRADOR MAS HONRADO, Garcia del Ca$stañar.",«DE D. FRANCISCO DE ROXAS.»,Biblioteca Nacional de España,T/55334/8,BNE_750_434_T-55334-8,,,
890,998,Despreciar lo que se quiere,DESPRECIAR LO QVE SE QVIERE.,«Del Doctor Iuan Perez de Montalvan.»,Biblioteca Nacional de España,T/55340/9,BNE_998_890_T-55340-9,,,
890,999,Despreciar lo que se quiere,DESPRECIAR LO QVE SE QVIERE.,DEL DOCTOR IVAN PEREZ de Montalvan.,Biblioteca Nacional de España,T/55340/10,BNE_999_890_T-55340-10,,,
663,614,Destinos vencen finezas,DESTINOS VENCEN / FINEZAS.,DE DON LORENZO DE LAS LLAMOSAS.,Biblioteca Nacional de España,T/55323/3,BNE_614_663_T-55323-3,,,
530,566,Dineros son calidad,DINEROS / SON CALIDAD.,«DE LOPE DE VEGA CARPIO.»,Biblioteca Nacional de España,T/2698,BNE_566_530_T-2698,,,
530,833,Dineros son calidad,DINEROS SON CALIDAD.,De Lope de Vega Carpio.,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.515.1,BNUE_833_530_CD-122-515-1,,,
466,512,Dios descubre la verdad,DIOS DESCVBRE LA VERDAD.,,Biblioteca Nacional de España,T/55323/2,BNE_512_466_T-55323-2,,,
897,1017,Don Pedro Miago,DON PEDRO MIAGO.,De don Franci$sco de Rojas Zorrilla.,Biblioteca Nacional de España,T/55328/20,BNE_1017_897_T-55328-20,,,
841,846,"Donde hay agravio, hay venganza","DONDE AY AGRAVIO, AY VENGANZA.","DE DON LVIS DE CORDOVA, Y LA CVEVA.",Biblioteca Nacional Universitaria de Estrasburgo,CD.122.514.1,BNUE_846_841_CD-122-514-1,Nicolás Rodríguez de Ábrego,1639-1648,1637-1670
688,730,Donde hay agravios no hay celos,DONDE AY AGRAVIOS NO AY ZELOS.,«De Don Franci$sco de Roxas.»,Biblioteca Nacional de España,T/55328/18,BNE_730_688_T-55328-18,,,
794,754,Donde hay valor hay honor,DONDE AY VALOR AY HONOR.,DE DON DIEGO DE ROSAS.,Biblioteca Nacional de España,T/55334/27,BNE_754_794_T-55334-27,,,
925,1077,Donde no está su dueño está su duelo,DONDE NO ESTA SV DVEÑO ESTA SV DVELO.,DE LOPE DE VEGA CARPIO.,Biblioteca Nacional de España,R/14147/2,BNE_1077_925_R-14147-2,Manuel de Sande,,1627-1635
930,1090,Duelo de honor y amistad,"DVELO DE HONOR, Y AMISTAD.",«DE DON PEDRO CALDERON.»,Biblioteca Nacional de España,T/55305/14,BNE_1090_930_T-55305-14,,,
930,1091,Duelo de honor y amistad,"DVELO DE HONOR , Y AMISTAD.",«DE DON PEDRO CALDERON.»,Biblioteca Nacional de España,T/55305/13,BNE_1091_930_T-55305-13,,,
825,821,Duelos de amor y lealtad,"DVELOS / DE AMOR, / Y LEALTAD.",«DE DON PEDRO CALDERON de la Barca.»,Biblioteca Nacional de España,T/18984,BNE_821_825_T-18984,Lucas Antonio de Bedmar,c. 1701,1666-1723
825,953,Duelos de amor y lealtad,DUELOS DE AMOR Y LEALTAD.,«DE D. PEDRO CALDERON DE LA BARCA.»,Biblioteca Nacional de España,T/55345/17,BNE_953_825_T-55345-17,,,
637,1087,Duelos de ingenio y fortuna,"DVELOS DE INGENIO, / Y FORTVNA.",«DE DON FRANCISCO BANCES CANDAMO.»,Biblioteca Nacional de España,T/55278/6,BNE_1087_637_T-55278-6,,,
637,581,Duelos de ingenio y fortuna,"DVELOS DE INGENIO, / Y FORTVNA.",«DE DON FRANCISCO BANCES CANDAMO.»,Biblioteca Nacional de España,T/55278/1,BNE_581_637_T-55278-1,,,
666,604,Durandarte y Belerma,"DVRANDARTE, Y BELERMA.","«POR EL DOCTOR MOSEN GVILLEN / Pierres, Catedratico in$signe.»",Biblioteca Nacional de España,T/55320/2,BNE_604_666_T-55320-2,,,
666,843,Durandarte y Belerma,"DE DVRANDARTE, Y BELERMA.","«POR EL DOCTOR MOSEN GVILLEN / Pierres,Catedratico in$signe.»",Biblioteca Nacional Universitaria de Estrasburgo,CD.122.515.4,BNUE_843_666_CD-122-515-4,,,
839,841,El alcalde de Zalamea,[ileglible] BIEN DADO.,«DE DON PEDRO CALDERON.»,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.515.11,BNUE_841_839_CD-122-515-11,,,
898,1023,El amante más cruel y la amistad ya difunta,EL AMANTE MAS CRUEL Y LA AMISTAD YA DIFUNTA.,«DE DON GONZALO DE ULLOA Y SANDOBAL.»,Biblioteca Nacional de España,T/55316/5,BNE_1023_898_T-55316-5,,,
837,838,El amor al uso,EL AMOR AL VSO.,«DE DON ANTONIO DE SOLIS.»,Biblioteca Nacional Universitaria de Estrasburgo,CD.122.515.6,BNUE_838_837_CD-122-515-6,,,
142,139,"El amor en vizcaíno y los celos en francés, y torneos de Navarra","EL AMOR EN VIZCAYNO, LOS ZELOS EN FRANCES, Y TORNEOS de Navarra.",De Luis Velez de Guevara,Biblioteca Nacional de España,T/55319/14,BNE_139_142_T-55319-14,,,
517,643,El amor hace valientes,EL AMOR HAZE VALIENTES.,«DE DON IV AN DE MATOS FRAGOSO.»,Biblioteca Nacional de España,T/55279/8,BNE_643_517_T-55279-8,,,
555,980,"El amor y la amistad, y cautela contra cautela","EL AMOR, Y LA AMISTAD Y PRUEBA REAL PARA CONOCER los verdaderos Amantes, y Amigos.",«DEL MAESTRO TIRSO DE MOLINA. »,Biblioteca Nacional de España,USOZ/11201,BNE_980_555_USOZ-11201,,,
870,932,El amparo de los hombres,EL AMPARO DE LOS HOMBRES.,DEL DOCTOR MIRA DE MESQVA.,Biblioteca Nacional de España,T/55274/28,BNE_932_870_T-55274-28,,,
531,568,El animal de Hungría,EL ANIMAL / DE UNGRIA.,«DE FREY LOPE DE VEGA CARPIO.»,Biblioteca Nacional de España,T/14802/22,BNE_568_531_T-14802-22,Viuda de Joseph de Orga,1764,1756-1772
541,908,El animal profeta,EL ANIMAL PROFETA.,DE LOPE DE VEGA CARPIO.,Biblioteca Nacional de España,T/55355/23,BNE_908_541_T-55355-23,,,
865,1055,El arca de Noé,EL ARCA DE NOE.,"«DE D. ANTONIO MARTINEZ, D. PEDRO Ro$sete Niños, y don Geronimo Cancer.»",Biblioteca Nacional de España,T/55340/27,BNE_1055_865_T-55340-27,,,
865,910,El arca de Noé,"EL ARCA DE NOE,","«DE D. ANTONIO MARTINEZ, D. PEDRO Ro$sete Niño, y don Geronimo Cancer. »",Biblioteca Nacional de España,T/55303/31,BNE_910_865_T-55303-31,,,
78,80,El asombro de la Italia y la vida de la venerable Clara de Agolancia,"EL ASSOMBRO DE LA ITALIA, Y VIDA DE LA VENERABLE CLARA DE AGOLANCIA.",DE DON ANTONIO GONZALEZ DE GARCI-GONZALEZ,Biblioteca Nacional de España,T/55324/18,BNE_80_78_T-55324-18,,,
916,1062,"El bandido más honrado, y que tuvo mejor fin","EL VANDIDO MAS HONRADO, Y QUE TUVO MEJOR FIN,",«MATHEO VICENTE BENET.»,Biblioteca Nacional de España,T/55317/30,BNE_1062_916_T-55317-30,,,
812,802,El burlador de Sevilla,"EL BVRLADOR DE SEVILLA, / y combidado de piedra.",DEL MAESTRO TIRSO DE MOLINA.,Biblioteca Nacional de España,R/23136/7,BNE_802_812_R-23136-7,Manuel de Sande,1627-1629,1627-1635
677,1083,El caballero dama,EL CAVALLERO DAMA.,«DE DON CHRISTOVAL DE MONROY.»,Biblioteca Nacional de España,T/55693,BNE_1083_677_T-55693,,,
677,698,El caballero dama,EL CAVALLERO DAMA.,«De D. Christoual de Monroy y Silua.»,Biblioteca Nacional de España,T/55339/31,BNE_698_677_T-55339-31,,,
677,737,El caballero dama,EL CAVALLERO DAMA.,«DE D. CHRISTOVAL DE MONROY Y SILVA.»,Biblioteca Nacional de España,U/9312,BNE_737_677_U-9312,Viuda de Joseph de Orga,1768,1756-1772
677,940,El caballero dama,"EL CAVALLERO DAMA,",DE DON CHRISTOVAL DE MONROY / Y SILVA.,Biblioteca Nacional de España,T/55339/30,BNE_940_677_T-55339-30,,,
305,318,El caballero de Olmedo,"EL CABALLERO DE OLMEDO,",,Biblioteca Nacional de España,T/55295/34,BNE_318_305_T-55295-34,,,
305,942,El caballero de Olmedo,CAVALLERO DE OLMEDO.,,Biblioteca Nacional de España,T/55295/27,BNE_942_305_T-55295-27,,,
305,943,El caballero de Olmedo,"EL CAVALLERO DE OLMEDO,",DE DON FRANCISCO MONTESER.,Biblioteca Nacional de España,T/55303/23,BNE_943_305_T-55303-23,,,
305,944,El caballero de Olmedo,EL CAVALLERO DE OLMEDO,,Biblioteca Nacional de España,T/55296/1,BNE_944_305_T-55296-1,,,
305,945,El caballero de Olmedo,EL CABALLERO DE OLMEDO.,DE DON FRANCISCO DE MONTESER.,Biblioteca Nacional de España,T/55303/25,BNE_945_305_T-55303-25,,,
305,946,El caballero de Olmedo,"EL CABALLERO DE OLMEDO,",,Biblioteca Nacional de España,T/55296/2,BNE_946_305_T-55296-2,,,
847,854,El caballero sastre,LA FAMOSA / COMEDIA DEL / CAVALLERO SASTRE.,"«POR EL LICENCIADO IVAN DE FLOR, EN LA / Vniuer$sidad de Salamanca.»",Biblioteca Nacional Universitaria de Estrasburgo,CD.122.514.15,BNUE_854_847_CD-122-514-15,Juan Crisóstomo Garriz,1629,1597-1629
218,216,El canto junto al encanto,EL CANTO JVNTO AL ENCANTO.,«DE D. MIGVEL DE BARRIOS.»,Biblioteca Nacional de España,T/55318/1,BNE_216_218_T-55318-1,,,
571,567,El capitán Belisario,EL CAPITAN / BELISARIO.,«DE LOPE DE VEGA CARPIO.»,Biblioteca Nacional de España,T/4404,BNE_567_571_T-4404,Antonio Sanz,1751,1705-1791
891,1000,El cardenal Morón,EL CARDENAL MORÓN.,Del Doctor Iuan Perez de Montaluan.,Biblioteca Nacional de España,T/55340/18,BNE_1000_891_T-55340-18,,,
36,44,El casamentero,EL CASAMENTERO.,DE DON PEDRO CALDERON.,Biblioteca Nacional de España,T/55360/57,BNE_44_36_T-55360-57,,,
224,230,El casamiento fingido,EL CASAMIENTO FINGIDO.,D. CHRISTOVAL DE MONROY Y SILVA.,Biblioteca Nacional de España,T/ 55339/5,BNE_230_224_T-55339-5,,,
